path,classification,evidence,proposed_batch
grails-app/views/admin/cache.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy::cache (implicit); megamenu href /admin/cache (runtime.groovy),admin-config-1
grails-app/views/admin/controllerActions.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy::controllerActions (implicit),admin-config-1
grails-app/views/admin/index.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy::index (implicit),admin-config-1
grails-app/views/admin/plugins.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy::plugins (implicit),admin-config-1
grails-app/views/admin/sendMail.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy::sendMail (implicit); render(view:'sendMail') in grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy; megamenu href /admin/sendMail (runtime.groovy),admin-config-1
grails-app/views/admin/showSettings.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy::showSettings (implicit); megamenu href /admin/showSettings (runtime.groovy); React SPA link in src/js/tests/menu/Menu.test.jsx,admin-config-1
grails-app/views/admin/showUpgrade.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy::showUpgrade (implicit),admin-config-2
grails-app/views/admin/status.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/admin/AdminController.groovy::status (implicit),admin-config-2
grails-app/views/api/index.gsp,DEAD,no static references found,
grails-app/views/attribute/_renderFormList.gsp,TEMPLATE,included by productSupplier/_dialog.gsp (g:render template='/attribute/renderFormList'); included by productSupplier/edit.gsp (g:render template='/attribute/renderFormList'); included by productSupplier/create.gsp (g:render template='/attribute/renderFormList'),
grails-app/views/attribute/edit.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/product/AttributeController.groovy::edit (implicit); render(view:'edit') in grails-app/controllers/org/pih/warehouse/product/AttributeController.groovy,product-catalog-1
grails-app/views/attribute/list.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/product/AttributeController.groovy::list (implicit); megamenu href /attribute/list (runtime.groovy),product-catalog-1
grails-app/views/attribute/show.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/product/AttributeController.groovy::show (implicit),product-catalog-1
grails-app/views/auth/login.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/user/AuthController.groovy::login (implicit); render(view:'login') in grails-app/controllers/org/pih/warehouse/user/AuthController.groovy,dashboard-auth
grails-app/views/auth/signup.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/user/AuthController.groovy::signup (implicit); render(view:'signup') in grails-app/controllers/org/pih/warehouse/user/AuthController.groovy,dashboard-auth
grails-app/views/batch/_uploadFileForm.gsp,TEMPLATE,included by batch/importData.gsp (g:render template='uploadFileForm'),
grails-app/views/batch/importData.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/batch/BatchController.groovy::importData (implicit); render(view:'importData') in grails-app/controllers/org/pih/warehouse/batch/BatchController.groovy; megamenu href /batch/importData (runtime.groovy),admin-config-2
grails-app/views/budgetCode/create.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/BudgetCodeController.groovy::create (implicit); render(view:'create') in grails-app/controllers/org/pih/warehouse/core/BudgetCodeController.groovy,finance-config-1
grails-app/views/budgetCode/edit.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/BudgetCodeController.groovy::edit (implicit); render(view:'edit') in grails-app/controllers/org/pih/warehouse/core/BudgetCodeController.groovy,finance-config-1
grails-app/views/budgetCode/list.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/BudgetCodeController.groovy::list (implicit); megamenu href /budgetCode/list (runtime.groovy),finance-config-1
grails-app/views/category/_selectOptions.gsp,TEMPLATE,render(template:'../category/selectOptions') in grails-app/taglib/org/pih/warehouse/CategorySelectTagLib.groovy; included by category/_selectOptions.gsp (g:render template='/category/selectOptions'),
grails-app/views/category/_tree.gsp,TEMPLATE,included by category/tree.gsp (g:render template='tree'); included by category/_tree.gsp (g:render template='tree'),
grails-app/views/category/create.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/product/CategoryController.groovy::create (implicit); render(view:'create') in grails-app/controllers/org/pih/warehouse/product/CategoryController.groovy,product-catalog-1
grails-app/views/category/edit.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/product/CategoryController.groovy::edit (implicit); render(view:'edit') in grails-app/controllers/org/pih/warehouse/product/CategoryController.groovy,product-catalog-1
grails-app/views/category/tree.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/product/CategoryController.groovy::tree (implicit); render(view:'tree') in grails-app/controllers/org/pih/warehouse/product/CategoryController.groovy; megamenu href /category/tree (runtime.groovy),product-catalog-1
grails-app/views/common/_breadcrumb.gsp,DEAD,no static references found,
grails-app/views/common/_customCss.gsp,TEMPLATE,included by layouts/custom.gsp (g:render template='/common/customCss'); included by layouts/print.gsp (g:render template='/common/customCss'),
grails-app/views/common/_customVariables.gsp,TEMPLATE,included by layouts/custom.gsp (g:render template='/common/customVariables'),
grails-app/views/common/_dataTable.gsp,TEMPLATE,render(template:'/common/dataTable') in grails-app/controllers/org/pih/warehouse/data/MigrationController.groovy; view path string '/common/dataTable' in grails-app/controllers/org/pih/warehouse/data/MigrationController.groovy; included by stockMovement/_synchronizeDialog.gsp (g:render template='/common/dataTable'),
grails-app/views/common/_footer.gsp,TEMPLATE,render(template:'/common/footer') in grails-app/controllers/org/pih/warehouse/user/DashboardController.groovy; view path string '/common/footer' in grails-app/controllers/org/pih/warehouse/user/DashboardController.groovy; included by layouts/email.gsp (g:render template='/common/footer'),
